date,l1,impressions,clicks,cost,conversions
2026-08-07,прапори,4067,46,566.65,0.6
2026-08-07,чоловічий одяг,1567,20,218.38,0.954008
2026-08-07,жіночий одяг,335,5,44.91,0.0
2026-08-07,аксесуари,78,1,0.16,0.0
2026-08-08,sale,5110,65,706.87,1.0
2026-08-08,новинки,1273,18,223.94,0.0
2026-08-08,прапори,3946,38,365.37,0.0
2026-08-08,чоловічий одяг,1842,18,142.08,0.0
2026-08-08,жіночий одяг,434,5,114.95,0.0
2026-08-08,аксесуари,77,2,2.95,0.0
2026-08-09,sale,896,7,38.07,1.0
2026-08-09,новинки,1375,16,154.26,0.0
2026-08-09,прапори,5040,53,683.05,4.0
2026-08-09,чоловічий одяг,1937,27,244.61,0.0
2026-08-09,жіночий одяг,499,4,51.01,0.0
2026-08-09,аксесуари,82,1,2.09,0.0
2026-08-10,новинки,1497,28,546.9,0.0
2026-08-10,прапори,4503,60,820.94,4.0
2026-08-10,чоловічий одяг,2474,33,462.09,0.0
2026-08-10,жіночий одяг,750,5,63.82,0.0
2026-08-10,аксесуари,138,2,4.66,0.0
2026-08-11,новинки,1960,21,283.92,1.0
2026-08-11,прапори,4933,50,859.56,1.0
2026-08-11,чоловічий одяг,3033,32,344.53,0.0
2026-08-11,жіночий одяг,902,8,92.09,0.0
2026-08-11,аксесуари,130,4,15.23,0.0
2026-08-12,новинки,2790,28,304.03,0.0
2026-08-12,прапори,6059,49,753.81,0.0
2026-08-12,чоловічий одяг,4857,39,444.11,0.0
2026-08-12,жіночий одяг,1284,11,123.37,0.0
2026-08-12,аксесуари,110,4,9.0,0.0
2026-08-13,новинки,3774,36,546.1,1.0
2026-08-13,прапори,7773,79,1077.38,0.0
2026-08-13,чоловічий одяг,5958,46,589.13,1.0
2026-08-13,жіночий одяг,1779,11,112.12,0.0
2026-08-13,аксесуари,176,3,11.38,0.0
2026-08-14,новинки,3467,45,655.64,0.0
2026-08-14,прапори,7311,62,1120.85,4.0
2026-08-14,чоловічий одяг,4756,46,458.83,0.0
2026-08-14,жіночий одяг,1513,13,156.46,0.0
2026-08-14,аксесуари,103,3,11.57,0.0
2026-08-15,новинки,2218,28,344.9,0.0
2026-08-15,прапори,3630,40,447.38,0.0
2026-08-15,чоловічий одяг,2993,33,239.86,0.0
2026-08-15,жіночий одяг,734,4,46.87,0.0
2026-08-15,аксесуари,67,2,6.57,0.0
2026-08-16,новинки,1477,10,87.41,0.0
2026-08-16,прапори,4057,53,1126.78,0.0
2026-08-16,чоловічий одяг,3210,44,488.43,0.0
2026-08-16,жіночий одяг,704,6,45.01,0.0
2026-08-16,аксесуари,44,1,4.23,0.0
2026-08-17,новинки,1996,21,234.91,0.0
2026-08-17,прапори,4557,40,366.3,0.0
2026-08-17,чоловічий одяг,2401,26,222.17,0.0
2026-08-17,жіночий одяг,591,5,32.02,0.0
2026-08-17,аксесуари,80,0,0.0,0.0
2026-08-18,новинки,3532,34,527.27,0.0
2026-08-18,прапори,4004,54,565.7,0.0
2026-08-18,чоловічий одяг,3120,52,380.01,0.0
2026-08-18,жіночий одяг,570,10,73.27,1.200136
2026-08-18,аксесуари,108,1,0.9,0.0
2026-08-19,новинки,2496,31,239.85,0.0
2026-08-19,прапори,2992,29,366.29,0.0
2026-08-19,чоловічий одяг,1835,27,382.7,0.0
2026-08-19,жіночий одяг,368,3,14.57,0.080059
2026-08-19,аксесуари,84,2,1.47,0.0
2026-08-20,новинки,1969,15,124.58,0.0
2026-08-20,прапори,2595,25,339.72,0.052281
2026-08-20,чоловічий одяг,1296,13,77.4,0.0
2026-08-20,жіночий одяг,259,2,7.8,0.0
2026-08-20,аксесуари,48,1,1.31,0.0
2026-08-21,новинки,1409,21,186.86,0.0
2026-08-21,прапори,2408,28,200.44,0.0
2026-08-21,чоловічий одяг,1050,9,81.77,0.0
2026-08-21,жіночий одяг,283,1,4.34,1.0
2026-08-21,аксесуари,55,2,2.29,0.0
2026-08-22,новинки,1265,16,65.65,0.0
2026-08-22,прапори,2320,34,361.85,0.947719
2026-08-22,чоловічий одяг,917,5,37.03,0.0
2026-08-22,жіночий одяг,219,3,8.65,0.0
2026-08-22,аксесуари,27,1,1.48,0.0
2026-08-23,новинки,620,10,50.9,0.0
2026-08-23,прапори,3112,28,255.95,0.0
2026-08-23,чоловічий одяг,439,8,58.28,0.0
2026-08-23,жіночий одяг,118,1,3.98,0.0
2026-08-23,аксесуари,42,0,0.0,0.0
2026-08-27,новинки,668,7,34.09,0.0
2026-08-27,прапори,1439,19,128.71,0.0
2026-08-27,чоловічий одяг,507,13,73.01,0.0
2026-08-27,жіночий одяг,391,5,15.28,0.0
2026-08-27,аксесуари,15,0,0.0,0.0
2026-08-28,новинки,1128,14,114.66,0.0
2026-08-28,прапори,1994,20,149.05,3.0
2026-08-28,чоловічий одяг,983,18,134.71,0.0
2026-08-28,жіночий одяг,750,9,38.93,0.0
2026-08-28,аксесуари,38,1,1.36,0.0
2026-08-29,новинки,897,17,94.38,2.0
2026-08-29,прапори,2161,43,479.38,3.0
2026-08-29,чоловічий одяг,798,10,78.04,0.0
2026-08-29,жіночий одяг,569,9,26.11,0.0
2026-08-29,аксесуари,28,1,2.62,0.0
2026-08-30,новинки,1123,17,58.04,0.666666
2026-08-30,прапори,2734,27,315.88,6.0
2026-08-30,чоловічий одяг,967,10,83.95,0.0
2026-08-30,жіночий одяг,641,5,7.26,0.0
2026-08-30,аксесуари,23,1,2.25,0.0
2026-08-31,новинки,1412,21,149.28,0.333334
2026-08-31,прапори,3296,39,443.89,2.0
2026-08-31,чоловічий одяг,1153,10,63.31,0.0
2026-08-31,жіночий одяг,840,6,39.91,0.0
2026-08-31,аксесуари,32,0,0.0,0.0
2026-09-01,новинки,2302,31,314.83,0.0
2026-09-01,прапори,3322,42,667.26,0.0
2026-09-01,чоловічий одяг,1682,26,406.08,0.0
2026-09-01,жіночий одяг,1418,12,39.64,0.0
2026-09-01,аксесуари,35,0,0.0,0.0
2026-09-02,новинки,3225,36,454.39,0.0
2026-09-02,прапори,5397,35,465.79,1.0
2026-09-02,чоловічий одяг,1993,35,351.71,0.0
2026-09-02,жіночий одяг,1808,16,91.88,0.0
2026-09-02,аксесуари,43,1,1.27,0.0
2026-09-03,новинки,4655,37,394.62,0.0
2026-09-03,прапори,5207,42,749.23,0.0
2026-09-03,чоловічий одяг,3226,51,619.2,0.0
2026-09-03,жіночий одяг,2948,41,389.98,0.0
2026-09-03,аксесуари,49,1,1.41,0.0
2026-09-04,новинки,2307,27,372.73,0.0
2026-09-04,прапори,2826,39,759.52,0.0
2026-09-04,чоловічий одяг,1389,16,520.37,0.0
2026-09-04,жіночий одяг,1436,17,104.22,0.0
2026-09-04,аксесуари,34,0,0.0,0.0
2026-09-05,sale,114,0,0.0,0.0
2026-09-05,новинки,4401,20,208.81,0.0
2026-09-05,прапори,2593,16,258.24,2.0
2026-09-05,чоловічий одяг,2388,30,459.15,0.0
2026-09-05,жіночий одяг,2217,23,211.6,0.0
2026-09-05,аксесуари,39,1,1.75,0.0
2026-09-06,sale,43,1,11.82,0.0
2026-09-06,новинки,2520,19,435.26,0.0
2026-09-06,прапори,1525,21,246.01,0.0
2026-09-06,чоловічий одяг,1411,19,159.7,0.0
2026-09-06,жіночий одяг,1551,16,227.59,0.0
2026-09-06,аксесуари,11,0,0.0,0.0
2026-09-07,sale,72,1,12.94,0.0
2026-09-07,новинки,3486,27,284.28,0.5
2026-09-07,прапори,2402,19,328.29,0.0
2026-09-07,чоловічий одяг,2239,24,238.28,0.0
2026-09-07,жіночий одяг,1911,23,216.21,0.5
2026-09-07,аксесуари,17,2,14.86,0.0
