Asset_group,Date,Impressions,Clicks,Cost,Conversions
Ретаргет,2026-07-09,351,2,9.62,0.0
Ретаргет,2026-07-10,734,26,69.29,0.0
Ретаргет,2026-07-11,541,10,49.53,0.132
Ретаргет,2026-07-12,394,9,72.68,0.593
Ретаргет,2026-07-13,950,10,34.77,3.275
Ретаргет,2026-07-14,1103,9,30.24,0.0
Ретаргет,2026-07-15,481,15,35.35,0.0
Ретаргет,2026-07-16,449,33,42.18,0.0
Ретаргет,2026-07-17,574,8,65.22,0.0
Ретаргет,2026-07-18,594,10,49.31,0.0
Ретаргет,2026-07-19,1225,14,51.13,0.0
Ретаргет,2026-07-20,236,4,51.42,0.0
Ретаргет,2026-07-21,1077,16,65.39,0.0
Ретаргет,2026-07-22,1228,10,70.14,1.0
Ретаргет,2026-07-23,1041,16,84.38,0.0
Ретаргет,2026-07-24,1063,13,53.26,0.0
Ретаргет,2026-07-25,945,21,137.34,0.0
Ретаргет,2026-07-26,1218,16,120.65,0.0
Ретаргет,2026-07-27,1043,24,100.69,0.0
Ретаргет,2026-07-28,1590,31,162.37,1.0
Ретаргет,2026-07-29,2088,50,174.01,3.0
Ретаргет,2026-07-30,1831,136,112.8,0.0
Ретаргет,2026-07-31,2744,127,178.62,0.0
Ретаргет,2026-08-01,2032,47,195.49,1.0
Ретаргет,2026-08-02,1965,48,148.15,0.0
Ретаргет,2026-08-03,3175,157,195.13,0.0
Ретаргет,2026-08-04,2099,33,147.22,0.0
Ретаргет,2026-08-05,1203,13,213.74,0.141
Ретаргет,2026-08-06,826,3,57.98,0.0
Ретаргет,2026-08-07,294,1,12.32,0.0
Ретаргет,2026-08-08,220,1,2.32,0.0
Ретаргет,2026-08-09,468,3,9.19,0.0
Ретаргет,2026-08-10,556,4,16.27,0.0
Ретаргет,2026-08-11,585,10,40.09,2.0
Ретаргет,2026-08-12,639,7,52.31,0.0
Ретаргет,2026-08-13,651,10,138.05,0.0
Ретаргет,2026-08-14,795,5,21.47,0.0
Ретаргет,2026-08-15,1139,13,47.51,1.0
Ретаргет,2026-08-16,717,5,28.25,0.0
Ретаргет,2026-08-17,655,11,32.02,0.0
Ретаргет,2026-08-18,1393,11,31.7,0.0
Ретаргет,2026-08-19,686,10,33.13,0.0
Ретаргет,2026-08-20,810,7,23.23,0.0
Ретаргет,2026-08-21,847,8,37.97,0.0
Ретаргет,2026-08-22,1040,15,97.07,0.0
Ретаргет,2026-08-23,753,18,37.32,1.0
Ретаргет,2026-08-27,36,0,0.0,0.0
Ретаргет,2026-08-28,387,2,11.39,0.0
Ретаргет,2026-08-29,478,6,43.34,0.0
Ретаргет,2026-08-30,722,6,15.57,1.0
Ретаргет,2026-08-31,556,2,14.41,0.0
Ретаргет,2026-09-01,603,5,22.14,0.0
Ретаргет,2026-09-02,712,4,14.04,0.0
Ретаргет,2026-09-03,851,7,30.5,0.0
Ретаргет,2026-09-04,1693,15,76.47,0.0
Ретаргет,2026-09-05,662,6,37.55,0.0
Ретаргет,2026-09-06,688,8,28.06,0.0
Ретаргет,2026-09-07,842,5,50.69,0.0
Ретаргет,2026-09-08,610,7,75.84,0.0
