item_id,title,impressions,clicks,cost,conversions
671891193042,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x14m z poliwęglanem 4mm",26,0,0.0,0.0
241868923352,Szklarnia Ekspert Tunel 20×20 3x12m z poliwęglanem 4mm,26,0,0.0,0.0
977236207742,Szklarnia Ekspert Tunel 20×20 3x8m z poliwęglanem 6mm,24,0,0.0,0.0
519691553522,"Fundament ze stali ocynkowanej pod szklarnię 3,5×6 m",21,0,0.0,0.0
747685212672,Szklarnia Ekspert Tunel 20×20 3x12m z poliwęglanem 6mm,20,1,1.18,0.0
632681436442,Fundament ze stali ocynkowanej pod szklarnię 4×10 m,18,1,1.09,0.0
781911476172,Szklarnia Mini Ekspert Tunel 20×20 2x6m z poliwęglanem 6mm,14,0,0.0,0.0
571600342122,"Fundament ze stali ocynkowanej pod szklarnię 2,5×6 m",14,0,0.0,0.0
792661394232,Fundament ze stali ocynkowanej pod szklarnię 4×12 m,12,0,0.0,0.0
642250749202,Szklarnia Mini Ekspert Tunel 20×20 2x12m z poliwęglanem 4mm,9,0,0.0,0.0
701983539082,Szklarnia Went Ekspert Tunel 40x20 3x12m z poliwęglanem 4mm,8,0,0.0,0.0
205084058282,"Fundament ze stali ocynkowanej pod szklarnię 2,85×6 m",7,0,0.0,0.0
762989295672,"Fundament ze stali ocynkowanej pod szklarnię 3,5×12 m",7,0,0.0,0.0
743131592932,Fundament ze stali ocynkowanej pod szklarnię 2×12 m,6,0,0.0,0.0
614527717002,Fundament ze stali ocynkowanej pod szklarnię 2×6 m,6,0,0.0,0.0
878032369002,"Fundament ze stali ocynkowanej pod szklarnię 2,85×12 m",4,1,0.53,0.0
903020141852,"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x12m z poliwęglanem 6mm",4,0,0.0,0.0
636739552452,Fundament ze stali ocynkowanej pod szklarnię 2×10 m,4,0,0.0,0.0
971513357252,"Fundament ze stali ocynkowanej pod szklarnię 2,5×10 m",4,0,0.0,0.0
717153128642,Fundament ze stali ocynkowanej pod szklarnię 3×12 m,2,0,0.0,0.0
743282090632,Fundament ze stali ocynkowanej pod szklarnię 3×8 m,2,0,0.0,0.0
230788192362,Fundament ze stali ocynkowanej pod szklarnię 3×10 m,2,0,0.0,0.0
515312717954,"Fundament ze stali ocynkowanej pod szklarnię 2,1×4 m",1,0,0.0,0.0
286562227652,Fundament ze stali ocynkowanej pod szklarnię 4×8 m,1,0,0.0,0.0
261649226642,Fundament ze stali ocynkowanej pod szklarnię 2×8 m,1,0,0.0,0.0
676604322994,"Szklarnia Domek NORDIS 2,5x6m profil 40x20mm ścianka 1 mm z poliwęglanem 4mm",1,0,0.0,0.0
